Campus,(No column name),Name,SundayDate
Arlington,1455,Attendance - Adults,2025-04-20
Baymeadows,971,Attendance - Adults,2025-04-20
Fleming Island,3210,Attendance - Adults,2025-04-20
Jesup,510,Attendance - Adults,2025-04-20
Mandarin,1716,Attendance - Adults,2025-04-20
North Jax,1801,Attendance - Adults,2025-04-20
Orange Park,939,Attendance - Adults,2025-04-20
Palatka,190,Attendance - Adults,2025-04-20
Ponte Vedra,1418,Attendance - Adults,2025-04-20
San Pablo,15704,Attendance - Adults,2025-04-20
St. Augustine,530,Attendance - Adults,2025-04-20
St. Johns,4353,Attendance - Adults,2025-04-20
Wildlight,771,Attendance - Adults,2025-04-20
Arlington,279,Attendance - Kids,2025-04-20
Baymeadows,157,Attendance - Kids,2025-04-20
Fleming Island,652,Attendance - Kids,2025-04-20
Jesup,116,Attendance - Kids,2025-04-20
Mandarin,354,Attendance - Kids,2025-04-20
North Jax,390,Attendance - Kids,2025-04-20
Orange Park,274,Attendance - Kids,2025-04-20
Palatka,60,Attendance - Kids,2025-04-20
Ponte Vedra,342,Attendance - Kids,2025-04-20
San Pablo,1691,Attendance - Kids,2025-04-20
St. Johns,936,Attendance - Kids,2025-04-20
Wildlight,144,Attendance - Kids,2025-04-20
