Campus,ServiceTime,ServiceDay,Value
Arlington,5:22 pm,Thursday,174
Arlington,7:22 pm,Thursday,246
Arlington,5:22 pm,Thursday,43
Orange Park,5:22 pm,Thursday,34
Baymeadows,5:22 pm,Thursday,140
Baymeadows,5:22 pm,Thursday,18
St. Johns,7:22 pm,Thursday,80
St. Augustine,5:22 pm,Thursday,48
San Pablo,5:22 pm,Thursday,1345
Fleming Island,5:22 pm,Thursday,311
St. Johns,5:22 pm,Thursday,421
St. Augustine,5:22 pm,Thursday,318
Fleming Island,5:22 pm,Thursday,67
San Pablo,5:22 pm,Thursday,213
Fleming Island,7:22 pm,Thursday,66
North Jax,7:22 pm,Thursday,296
Baymeadows,7:22 pm,Thursday,15
North Jax,7:22 pm,Thursday,42
Orange Park,7:22 pm,Thursday,52
Mandarin,7:22 pm,Thursday,51
Baymeadows,7:22 pm,Thursday,160
Arlington,7:22 pm,Thursday,33
San Pablo,7:22 pm,Thursday,2116
St. Augustine,7:22 pm,Thursday,33
St. Johns,7:22 pm,Thursday,687
Mandarin,7:22 pm,Thursday,427
Orange Park,7:22 pm,Thursday,150
St. Augustine,7:22 pm,Thursday,433
Fleming Island,7:22 pm,Thursday,440
San Pablo,7:22 pm,Thursday,145
Palatka,7:22 pm,Thursday,122
Jesup,7:22 pm,Thursday,141
Jesup,7:22 pm,Thursday,26
Palatka,7:22 pm,Thursday,25
College Park Orlando (Coming Soon),6:30 pm,Friday,381
College Park Orlando (Coming Soon),6:30 pm,Friday,8
Wildlight,3:22 pm,Saturday,245
Fleming Island,3:22 pm,Saturday,429
Wildlight,3:22 pm,Saturday,56
St. Johns,3:22 pm,Saturday,269
San Pablo,3:22 pm,Saturday,319
St. Johns,3:22 pm,Saturday,1229
Ponte Vedra,3:22 pm,Saturday,365
Fleming Island,3:22 pm,Saturday,101
San Pablo,3:22 pm,Saturday,2024
St. Johns,5:22,Saturday,213
Jesup,5:22,Saturday,96
Jesup,5:22,Saturday,25
Fleming Island,5:22,Saturday,496
North Jax,5:22,Saturday,352
Fleming Island,5:22,Saturday,115
North Jax,5:22,Saturday,62
San Pablo,5:22,Saturday,1772
St. Johns,5:22,Saturday,1150
San Pablo,5:22,Saturday,249
St. Johns,7:22 am,Sunday,74
Wildlight,7:22 am,Sunday,125
Fleming Island,7:22 am,Sunday,27
Wildlight,7:22 am,Sunday,12
Fleming Island,7:22 am,Sunday,243
Arlington,7:22 am,Sunday,22
San Pablo,7:22 am,Sunday,88
Ponte Vedra,7:22 am,Sunday,180
Ponte Vedra,7:22 am,Sunday,20
North Jax,7:22 am,Sunday,27
San Pablo,7:22 am,Sunday,1156
Arlington,7:22 am,Sunday,151
St. Johns,7:22 am,Sunday,570
North Jax,7:22 am,Sunday,136
Orange Park,5:22 pm,Thursday,93
Ponte Vedra,3:22 pm,Saturday,73
Palatka,9:22 am,Sunday,58
St. Johns,5:22 pm,Thursday,78
Jesup,9:22 am,Sunday,62
Mandarin,9:22 am,Sunday,150
St. Johns,9:22 am,Sunday,395
Wildlight,9:22 am,Sunday,513
Wildlight,9:22 am,Sunday,102
St. Augustine,9:22 am,Sunday,937
Ponte Vedra,9:22 am,Sunday,163
Jesup,9:22 am,Sunday,286
St. Augustine,9:22 am,Sunday,140
Fleming Island,9:22 am,Sunday,165
Arlington,9:22 am,Sunday,173
North Jax,9:22 am,Sunday,589
Orange Park,9:22 am,Sunday,135
San Pablo,9:22 am,Sunday,390
Orange Park,9:22 am,Sunday,694
Palatka,9:22 am,Sunday,257
Baymeadows,9:22 am,Sunday,395
Baymeadows,9:22 am,Sunday,71
Arlington,9:22 am,Sunday,701
North Jax,9:22 am,Sunday,170
Mandarin,9:22 am,Sunday,701
Ponte Vedra,9:22 am,Sunday,759
Fleming Island,9:22 am,Sunday,753
San Pablo,9:22 am,Sunday,3530
St. Johns,9:22 am,Sunday,2605
Wildlight,11:22 am,Sunday,334
Mandarin,11:22 am,Sunday,106
Jesup,11:22 am,Sunday,214
St. Johns,11:22 am,Sunday,272
Fleming Island,11:22 am,Sunday,121
St. Augustine,11:22 am,Sunday,97
Baymeadows,11:22 am,Sunday,45
San Pablo,11:22 am,Sunday,323
Palatka,11:22 am,Sunday,51
North Jax,11:22 am,Sunday,538
Baymeadows,11:22 am,Sunday,282
Jesup,11:22 am,Sunday,60
Mandarin,11:22 am,Sunday,509
North Jax,11:22 am,Sunday,117
St. Augustine,11:22 am,Sunday,555
Fleming Island,11:22 am,Sunday,686
Palatka,11:22 am,Sunday,273
Arlington,11:22 am,Sunday,621
Ponte Vedra,11:22 am,Sunday,498
Orange Park,11:22 am,Sunday,482
San Pablo,11:22 am,Sunday,3181
St. Johns,11:22 am,Sunday,2276
Arlington,11:22 am,Sunday,106
Wildlight,11:22 am,Sunday,74
Orange Park,11:22 am,Sunday,118
Ponte Vedra,11:22 am,Sunday,81
St. Johns,7:22 pm,Thursday,83
St. Johns,4:22 pm,Sunday,92
San Pablo,4:22 pm,Sunday,824
Fleming Island,4:22 pm,Sunday,37
St. Johns,4:22 pm,Sunday,471
San Pablo,4:22 pm,Sunday,77
Fleming Island,4:22 pm,Sunday,262
